CountyCode,Tally,Population,Geoname,Value
01001,"[0.11394731972117697, 0.13673678366541236, 0.14813151563753008, 0.10255258774905927, 0.09115785577694158, 0.09115785577694158, 1.1709209795817657, 1.239289371414472, 0.1709209795817655, 0.11394731972117697]",55416,"Autauga County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698944, -0.56961480464698944, 1.6585560654242095, 1.7080842689888769, -0.020976660825954382, -0.3748591932445664]"
01003,"[0.428850780334341, 0.5146209364012092, 0.5575060144346433, 1.3859657023009069, 1.3430806242674724, 1.3430806242674727, 3.64327617050151, 2.900586638702114, 1.6432761705015113, 1.4288507803343402]",208563,"Baldwin County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, 0.64895164290933283, 0.62151906107988653, 0.62151906107988653, 1.4924830990302229, 1.2935147739672828, 0.79758179511389693, 0.6755481962660479]"
01005,"[0.053389673678366556, 1.06406760841404, 1.069406575781876, 0.0480507063105299, 0.04271173894269324, 0.04271173894269324, 0.08008451051754982, 0.11211831472456972, 0.08008451051754982, 0.053389673678366556]",25965,"Barbour County, Alabama","[-0.3748591932445664, 2.2367104243226552, 2.2410786635609137, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.020976660825954382, 0.272690154894979, -0.020976660825954382, -0.3748591932445664]"
01007,"[0.04655892089733308, 0.05587070507679969, 0.060526597166533, 0.041903028807599774, 0.03724713671786647, 0.03724713671786647, 0.06983838134599962, 0.0977737338843995, 0.06983838134599962, 0.04655892089733308]",22643,"Bibb County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.02097666082595593, 0.272690154894979, -0.02097666082595593, -0.3748591932445664]"
01009,"[0.11865194415314706, 0.14238233298377645, 0.15424752739909114, 0.10678674973783235, 0.09492155532251764, 0.09492155532251764, 0.17797791622972053, 0.2491690827216087, 0.17797791622972053, 0.11865194415314706]",57704,"Blount County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.02097666082595593, 0.272690154894979, -0.02097666082595593, -0.3748591932445664]"
01011,"[0.021306520264018258, 0.02556782431682191, 0.027698476343223734, 0.019175868237616432, 0.017045216211214607, 0.017045216211214607, 0.031959780396027385, 0.04474369255443836, 0.031959780396027385, 0.021306520264018258]",10362,"Bullock County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.02097666082595593, 0.272690154894979, -0.02097666082595593, -0.3748591932445664]"
01013,"[0.0411202270063537, 0.049344272407624436, 0.053456295108259805, 0.03700820430571833, 0.03289618160508296, 0.03289618160508296, 0.06168034050953054, 0.0863524767133428, 0.06168034050953054, 0.0411202270063537]",19998,"Butler County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698944, -0.56961480464698944, -0.02097666082595593, 0.272690154894979, -0.02097666082595593, -0.3748591932445664]"
01015,"[0.23566508337959818, 0.2827981000555178, 0.3063646083934776, 0.21209857504163837, 0.18853206670367856, 2.1885320667036785, 4.353497625069399, 2.4948966750971584, 0.35349762506939725, 0.23566508337959818]",114611,"Calhoun County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698944, 1.5702000117547583, 2.1704543653358157, 1.684548630235758, -0.02097666082595593, -0.3748591932445664]"
01017,"[0.06958855098389982, 0.08350626118067977, 0.09046511627906975, 0.06262969588550985, 0.05567084078711986, 0.05567084078711986, 0.1043828264758497, 0.14613595706618956, 0.1043828264758497, 0.06958855098389982]",33843,"Chambers County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.02097666082595593, 0.272690154894979, -0.02097666082595593, -0.3748591932445664]"
01019,"[0.05289618160508297, 0.06347541792609956, 0.06876503608660786, 0.04760656344457467, 0.042316945284066376, 0.042316945284066376, 0.07934427240762446, 0.11108198137067424, 0.07934427240762446, 0.05289618160508297]",25725,"Cherokee County, Alabama","[-0.3748591932445664, -0.21573227222837746, -0.14587246055354081, -0.46681592479142986, -0.56961480464698788, -0.56961480464698788, -0.020976660825954382, 0.272690154894979, -0.020976660825954382, -0.3748591932445664]"
