CountyCode,Tally,Population,Geoname,Value
47037,293.67577643256084,684410,"Davidson County, Tennessee",2.897723794797193
09011,12.65963977707516,269801,"New London County, Connecticut",0.7185660348901859
11001,218.82349294601156,681170,"District of Columbia, District of Columbia",2.612708577315662
12086,186.9993196169283,2712945,"Miami-Dade County, Florida",1.0972338358265439
20001,0.31486653029678124,12714,"Allen County, Kansas",0.08934667072890957
20003,0.1938383146635923,7827,"Anderson County, Kansas",0.08934667072891132
20005,3.4056562660265293,16380,"Atchison County, Kansas",2.184320820180657
20007,0.11609991301174381,4688,"Barber County, Kansas",0.08934667072890957
20009,1.663091973312593,26775,"Barton County, Kansas",0.9947293726918581
20011,2.3619949719480884,14617,"Bourbon County, Kansas",1.936140878092868
20013,0.23982755068381606,9684,"Brown County, Kansas",0.08934667072891132
20015,7.659896900514526,67025,"Butler County, Kansas",1.59507799575309
20017,0.06609869194290627,2669,"Chase County, Kansas",0.08934667072891132
20019,0.08355825650631914,3374,"Chautauqua County, Kansas",0.08934667072891132
20021,1.5013990697175315,20246,"Cherokee County, Kansas",1.169234759786841
20023,0.06590056922445617,2661,"Cheyenne County, Kansas",0.08934667072891132
20025,0.05131378407856941,2072,"Clark County, Kansas",0.08934667072891132
20027,0.2016641620423703,8143,"Clay County, Kansas",0.08934667072891132
20029,0.22660285922727305,9150,"Cloud County, Kansas",0.08934667072890957
20031,0.20884611058618488,8433,"Coffey County, Kansas",0.08934667072890957
20033,0.04611306271925499,1862,"Comanche County, Kansas",0.08934667072891132
20035,1.8854351940931906,35753,"Cowley County, Kansas",0.8335605891833449
20037,2.9699097681723403,39164,"Crawford County, Kansas",1.19122485899505
20039,0.07013544233132649,2832,"Decatur County, Kansas",0.08934667072890957
20041,0.47212643806652815,19064,"Dickinson County, Kansas",0.08934667072890957
20043,0.1898015642751718,7664,"Doniphan County, Kansas",0.08934667072891132
20045,3.957972186459629,119440,"Douglas County, Kansas",0.37609697804550224
20047,0.07276056835079006,2938,"Edwards County, Kansas",0.08934667072891132
20049,0.06307732048654256,2547,"Elk County, Kansas",0.08934667072890957
20051,4.715544963022257,28893,"Ellis County, Kansas",1.9459317797595956
20053,0.15671507029400936,6328,"Ellsworth County, Kansas",0.08934667072891132
20055,1.9094328083654586,36722,"Finney County, Kansas",0.8196830086890652
20057,0.8413033585584359,33971,"Ford County, Kansas",0.08934667072890957
20059,2.6330020854479876,25560,"Franklin County, Kansas",1.4928376619941788
20061,1.8812993823455426,35586,"Geary County, Kansas",0.8360082810327057
20063,0.06411746475840562,2589,"Gove County, Kansas",0.08934667072891307
20065,0.06349833126324904,2564,"Graham County, Kansas",0.08934667072891132
20067,0.1893557881586593,7646,"Grant County, Kansas",0.08934667072891132
20069,0.14943406039096915,6034,"Gray County, Kansas",0.08934667072891132
20071,0.03209588038891219,1296,"Greeley County, Kansas",0.08934667072891132
20073,0.1523316051483012,6151,"Greenwood County, Kansas",0.08934667072890957
20075,0.06280490174867372,2536,"Hamilton County, Kansas",0.08934667072890957
20077,0.14079095679858458,5685,"Harper County, Kansas",0.08934667072891132
20079,1.864632308655933,34913,"Harvey County, Kansas",0.8460457780337208
20081,0.09920995126387509,4006,"Haskell County, Kansas",0.08934667072891132
20083,0.046311185437705085,1870,"Hodgeman County, Kansas",0.08934667072891132
20085,0.32915613136499366,13291,"Jackson County, Kansas",0.08934667072891132
20087,0.46799062631888405,18897,"Jefferson County, Kansas",0.08934667072891307
20089,0.07184425077795853,2901,"Jewell County, Kansas",0.08934667072891132
20091,56.474127615108046,584451,"Johnson County, Kansas",1.4298350623950062
20093,0.09700583602111804,3917,"Kearny County, Kansas",0.08934667072891132
20095,0.18492279233333891,7467,"Kingman County, Kansas",0.08934667072891132
20097,0.06149233873894207,2483,"Kiowa County, Kansas",0.08934667072891132
20099,0.5063026069991671,20444,"Labette County, Kansas",0.08934667072891132
20101,0.0405160959230404,1636,"Lane County, Kansas",0.08934667072891307
20103,3.9862793138212247,80204,"Leavenworth County, Kansas",0.7752318014168017
20105,0.07610388922463518,3073,"Lincoln County, Kansas",0.08934667072891307
20107,0.23670711786822685,9558,"Linn County, Kansas",0.08934667072890957
20109,0.0701106769915204,2831,"Logan County, Kansas",0.08934667072891307
20111,2.829886536907747,33510,"Lyon County, Kansas",1.2971893461427921
20113,0.7133408477794942,28804,"McPherson County, Kansas",0.08934667072890957
20115,0.29995779573341347,12112,"Marion County, Kansas",0.08934667072891132
20117,0.24359188233436735,9836,"Marshall County, Kansas",0.08934667072891132
20119,0.10441067262318963,4216,"Meade County, Kansas",0.08934667072891132
20121,0.8163646613735349,32964,"Miami County, Kansas",0.08934667072891132
20123,0.15461001641047728,6243,"Mitchell County, Kansas",0.08934667072891132
20125,0.8109658172957699,32746,"Montgomery County, Kansas",0.08934667072891132
20127,0.13801723874028335,5573,"Morris County, Kansas",0.08934667072890957
20129,0.07053168776822663,2848,"Morton County, Kansas",0.08934667072890957
20131,0.2536218449559025,10241,"Nemaha County, Kansas",0.08934667072891132
20133,0.39986117651186437,16146,"Neosho County, Kansas",0.08934667072891132
20135,0.0733549365061402,2962,"Ness County, Kansas",0.08934667072890957
20137,0.13603601155578285,5493,"Norton County, Kansas",0.08934667072891132
20139,0.39235727855056696,15843,"Osage County, Kansas",0.08934667072890957
20141,0.09019536757439656,3642,"Osborne County, Kansas",0.08934667072890957
