CountyCode,Tally,Population,Geoname,Value
01001,"[0.11394731972117697, 0.13673678366541236, 0.1709209795817655, 0.14813151563753008, 0.07976312380482388, 0.06836839183270618, 0.09115785577694158, 0.12534205169329465, 1.1025525877490592, 1.1709209795817657, 1.193710443526001, 0.2506841033865895, 0.1709209795817655, 0.12534205169329465, 0.09115785577694158]",55416,"Autauga County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.01641828338371994, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694649, -0.28695233362522243, 1.6096229326962703, 1.6621000133378641, 1.678913482973339, 0.31764845474805875, -0.01641828338371994, -0.28695233362522243, -0.56472505245694649]"
01003,"[0.428850780334341, 0.5146209364012092, 0.6432761705015115, 0.5575060144346433, 0.30019554623403866, 1.2573104682006044, 1.3430806242674724, 2.471735858367774, 1.3859657023009067, 3.64327617050151, 2.729046326568378, 2.943471716735548, 1.6432761705015113, 1.4717358583677744, 1.343080624267472]",208563,"Baldwin County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.01641828338371994, -0.14123864666088234, -0.68119841845714968, 0.56812837289864782, 0.62568937425751869, 1.157725169894511, 0.6531053869420963, 1.4961273542009947, 1.24410587933209, 1.3100810540283301, 0.80164576726375691, 0.70548026565504895, 0.62568937425751714]"
01005,"[0.053389673678366556, 0.06406760841403987, 1.0800845105175496, 1.069406575781876, 1.037372771574856, 0.03203380420701993, 0.04271173894269324, 0.05872864104620321, 0.0480507063105299, 0.08008451051754982, 0.09076244525322312, 0.11745728209240637, 0.08008451051754982, 0.05872864104620321, 0.04271173894269324]",25965,"Barbour County, Alabama","[-0.37008707248853795, -0.2110562633521284, 2.2529369651415787, 2.2442707706825558, 2.217743279397709, -0.81565705172540959, -0.56472505245694493, -0.28695233362522243, -0.46198826262059312, -0.01641828338371994, 0.092755838689657658, 0.31764845474805875, -0.01641828338371994, -0.28695233362522243, -0.56472505245694493]"
01007,"[0.04655892089733308, 0.05587070507679969, 0.06983838134599962, 0.060526597166533, 0.03259124462813316, 0.027935352538399853, 0.03724713671786647, 0.051214812987066385, 0.041903028807599774, 0.06983838134599962, 0.07915016552546625, 0.10242962597413281, 0.06983838134599962, 0.051214812987066385, 0.03724713671786647]",22643,"Bibb County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694493, -0.28695233362522399, -0.46198826262059312, -0.016418283383721491, 0.092755838689657658, 0.31764845474805875, -0.016418283383721491, -0.28695233362522399, -0.56472505245694493]"
01009,"[0.11865194415314706, 0.14238233298377645, 0.17797791622972053, 0.15424752739909114, 0.08305636090720293, 0.07119116649188822, 0.09492155532251764, 0.13051713856846175, 0.10678674973783235, 0.17797791622972053, 0.20170830506034992, 0.2610342771369234, 0.17797791622972053, 0.13051713856846175, 0.09492155532251764]",57704,"Blount County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694493, -0.28695233362522243, -0.46198826262059312, -0.016418283383721491, 0.092755838689657658, 0.3176484547480572, -0.016418283383721491, -0.28695233362522243, -0.56472505245694493]"
01011,"[0.021306520264018258, 0.02556782431682191, 0.031959780396027385, 0.027698476343223734, 0.01491456418481278, 0.012783912158410954, 0.017045216211214607, 0.023437172290420083, 0.019175868237616432, 0.031959780396027385, 0.03622108444883104, 0.04687434458084019, 0.031959780396027385, 0.023437172290420083, 0.017045216211214607]",10362,"Bullock County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694493, -0.28695233362522243, -0.46198826262059312, -0.016418283383721491, 0.092755838689657658, 0.31764845474805875, -0.016418283383721491, -0.28695233362522243, -0.56472505245694493]"
01013,"[0.0411202270063537, 0.049344272407624436, 0.06168034050953054, 0.053456295108259805, 0.02878415890444759, 0.02467213620381222, 0.03289618160508296, 0.04523224970698907, 0.03700820430571833, 0.06168034050953054, 0.0699043859108013, 0.09046449941397817, 0.06168034050953054, 0.04523224970698907, 0.03289618160508296]",19998,"Butler County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694649, -0.28695233362522399, -0.46198826262059312, -0.016418283383721491, 0.092755838689657658, 0.31764845474805875, -0.016418283383721491, -0.28695233362522399, -0.56472505245694649]"
01015,"[0.23566508337959818, 0.2827981000555178, 0.35349762506939725, 0.3063646083934776, 0.16496555836571875, 0.14139905002775893, 0.18853206670367856, 2.2592315917175583, 3.2120985750416384, 4.353497625069399, 2.4006306417453187, 1.5184631834351177, 0.35349762506939725, 0.259231591717558, 1.1885320667036785]",114611,"Calhoun County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694649, 1.6015295451672078, 1.9084756919928023, 2.1736891291871747, 1.654481257082014, 1.2549601372420005, -0.016418283383721491, -0.28695233362522243, 1.0412754145881393]"
01017,"[0.06958855098389982, 0.08350626118067977, 0.1043828264758497, 0.09046511627906975, 0.04871198568872988, 0.041753130590339894, 0.05567084078711986, 0.0765474060822898, 0.06262969588550985, 0.1043828264758497, 0.11830053667262966, 0.15309481216457954, 0.1043828264758497, 0.0765474060822898, 0.05567084078711986]",33843,"Chambers County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.016418283383721491, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694493, -0.28695233362522243, -0.46198826262059312, -0.016418283383721491, 0.092755838689657658, 0.3176484547480572, -0.016418283383721491, -0.28695233362522243, -0.56472505245694493]"
01019,"[0.05289618160508297, 0.06347541792609956, 0.07934427240762446, 0.06876503608660786, 0.03702732712355808, 0.03173770896304978, 0.042316945284066376, 0.05818579976559127, 0.04760656344457467, 0.07934427240762446, 0.08992350872864105, 0.11637159953118253, 0.07934427240762446, 0.05818579976559127, 0.042316945284066376]",25725,"Cherokee County, Alabama","[-0.37008707248853795, -0.2110562633521284, -0.01641828338371994, -0.14123864666088234, -0.68119841845714968, -0.81565705172540959, -0.56472505245694493, -0.28695233362522243, -0.46198826262059312, -0.01641828338371994, 0.092755838689657658, 0.31764845474805875, -0.01641828338371994, -0.28695233362522243, -0.56472505245694493]"
