CountyCode,Tally,Population,Geoname,Value
01001,"[0.07976312380482388, 0.07976312380482388, 0.10255258774905927, 0.10255258774905927, 0.056973659860588485, 0.022789463944235394, 0.04557892788847079, 0.07976312380482388, 1.0911578557769417, 1.1025525877490594, 1.113947319721177, 0.14813151563753008, 0.12534205169329465, 0.09115785577694158, 0.06836839183270618]",55416,"Autauga County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, 2.0396503597089191, 2.0486417020779633, 2.0575405962131277, 0.31134343422249783, 0.16675854016198186, -0.10886237069325518, -0.35785048764003935]"
01003,"[0.30019554623403866, 0.30019554623403866, 0.3859657023009069, 0.3859657023009069, 0.21442539016717044, 1.0857701560668682, 1.171540312133736, 1.300195546234038, 0.34308062426747277, 2.3859657023009064, 2.42885078033434, 2.557506014434642, 1.4717358583677749, 1.3430806242674724, 1.257310468200604]",208563,"Baldwin County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, 0.88825944473073626, 0.95406307543865598, 1.04424383436559, -0.10886237069325365, 1.5696780899006426, 1.5850962932322092, 1.6297683888387569, 1.1515031116465853, 1.0723303323418549, 1.0152152359025872]"
01005,"[0.037372771574856585, 0.037372771574856585, 1.0480507063105298, 1.0480507063105295, 1.0266948368391828, 0.010677934735673309, 0.021355869471346618, 0.037372771574856585, 0.04271173894269324, 0.0480507063105299, 0.053389673678366556, 0.06940657578187652, 0.05872864104620321, 0.04271173894269324, 0.03203380420701993]",25965,"Barbour County, Alabama","[-0.22443345831615191, -0.22443345831615191, 2.6609143956062757, 2.6609143956062757, 2.6430962060923511, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198186, -0.10886237069325365, -0.35785048764003935]"
01007,"[0.03259124462813316, 0.03259124462813316, 0.041903028807599774, 0.041903028807599774, 0.023279460448666543, 0.009311784179466617, 0.018623568358933234, 0.03259124462813316, 0.03724713671786647, 0.041903028807599774, 0.04655892089733308, 0.060526597166533, 0.051214812987066385, 0.03724713671786647, 0.027935352538399853]",22643,"Bibb County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198033, -0.10886237069325365, -0.35785048764003935]"
01009,"[0.08305636090720293, 0.08305636090720293, 0.10678674973783235, 0.10678674973783235, 0.059325972076573516, 0.023730388830629407, 0.047460777661258814, 0.08305636090720293, 0.09492155532251764, 0.10678674973783235, 0.11865194415314706, 0.15424752739909114, 0.13051713856846175, 0.09492155532251764, 0.07119116649188822]",57704,"Blount County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198186, -0.10886237069325365, -0.35785048764003935]"
01011,"[0.01491456418481278, 0.01491456418481278, 0.019175868237616432, 0.019175868237616432, 0.010653260132009129, 0.004261304052803652, 0.008522608105607303, 0.01491456418481278, 0.017045216211214607, 0.019175868237616432, 0.021306520264018258, 0.027698476343223734, 0.023437172290420083, 0.017045216211214607, 0.012783912158410954]",10362,"Bullock County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198186, -0.10886237069325365, -0.35785048764003935]"
01013,"[0.02878415890444759, 0.02878415890444759, 0.03700820430571833, 0.03700820430571833, 0.020560113503176852, 0.008224045401270742, 0.016448090802541483, 0.02878415890444759, 0.03289618160508296, 0.03700820430571833, 0.0411202270063537, 0.053456295108259805, 0.04523224970698907, 0.03289618160508296, 0.02467213620381222]",19998,"Butler County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325518, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198033, -0.10886237069325518, -0.35785048764003935]"
01015,"[0.16496555836571875, 0.16496555836571875, 0.21209857504163837, 0.21209857504163837, 0.11783254168979912, 0.047133016675919646, 0.09426603335183929, 1.1649655583657188, 2.1885320667036785, 2.2120985750416393, 1.2356650833795992, 0.3063646083934776, 0.259231591717558, 0.18853206670367856, 1.1413990500277589]",114611,"Calhoun County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, 1.4673632518143764, 2.0130936240997901, 2.0223636360135604, 1.5183564879513418, 0.31134343422249783, 0.16675854016198186, -0.10886237069325518, 1.4496752730069766]"
01017,"[0.04871198568872988, 0.04871198568872988, 0.06262969588550985, 0.06262969588550985, 0.03479427549194991, 0.013917710196779964, 0.027835420393559927, 0.04871198568872988, 0.05567084078711986, 0.06262969588550985, 0.06958855098389982, 0.09046511627906975, 0.0765474060822898, 0.05567084078711986, 0.041753130590339894]",33843,"Chambers County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198186, -0.10886237069325365, -0.35785048764003935]"
01019,"[0.03702732712355808, 0.03702732712355808, 0.04760656344457467, 0.04760656344457467, 0.026448090802541485, 0.010579236321016594, 0.021158472642033188, 0.03702732712355808, 0.042316945284066376, 0.04760656344457467, 0.05289618160508297, 0.06876503608660786, 0.05818579976559127, 0.042316945284066376, 0.03173770896304978]",25725,"Cherokee County, Alabama","[-0.22443345831615191, -0.22443345831615191, -0.0069214467892307219, -0.0069214467892307219, -0.51564934079082814, -1.3086966862884424, -0.70877952849084802, -0.22443345831615191, -0.10886237069325365, -0.0069214467892307219, 0.084267817006766221, 0.31134343422249783, 0.16675854016198186, -0.10886237069325365, -0.35785048764003935]"
